State,District,Year,KFD_Season,KFD_AFI_Cases,Outbreak_Label,Target_Definition,Case_Definition,Source_ID,Source_Document,Source_Page,Evidence_Status,Zero_Basis
Goa,South Goa,2017,2017-18,0,0,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,52-53,Verified,Case/affected village not listed for this district-season in NCDC AFI annexure
Karnataka,Chikkamagaluru,2017,2017-18,0,0,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,53-54,Verified,Case/affected village not listed for this district-season in NCDC AFI annexure
Karnataka,Kodagu,2017,2017-18,0,0,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,53-54,Verified,Case/affected village not listed for this district-season in NCDC AFI annexure
Karnataka,Shivamogga,2017,2017-18,15,1,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,53-54,Verified,
Karnataka,Uttara Kannada,2017,2017-18,0,0,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,53-54,Verified,Case/affected village not listed for this district-season in NCDC AFI annexure
Kerala,Kannur,2017,2017-18,0,0,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,54,Verified,Case/affected village not listed for this district-season in NCDC AFI annexure
Kerala,Wayanad,2017,2017-18,0,0,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,54,Verified,Case/affected village not listed for this district-season in NCDC AFI annexure
Maharashtra,Sindhudurg,2017,2017-18,35,1,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,54-55,Verified,
Goa,North Goa,2018,2018-19,16,1,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,52-53,Verified,
Goa,South Goa,2018,2018-19,1,1,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,52-53,Verified,
Karnataka,Chikkamagaluru,2018,2018-19,0,0,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,53-54,Verified,Case/affected village not listed for this district-season in NCDC AFI annexure
Karnataka,Kodagu,2018,2018-19,0,0,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,53-54,Verified,Case/affected village not listed for this district-season in NCDC AFI annexure
Karnataka,Shivamogga,2018,2018-19,81,1,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,53-54,Verified,
Karnataka,Uttara Kannada,2018,2018-19,0,0,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,53-54,Verified,Case/affected village not listed for this district-season in NCDC AFI annexure
Kerala,Kannur,2018,2018-19,0,0,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,54,Verified,Case/affected village not listed for this district-season in NCDC AFI annexure
Kerala,Wayanad,2018,2018-19,5,1,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,54,Verified,
Maharashtra,Sindhudurg,2018,2018-19,34,1,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,54-55,Verified,
